books,authors,movies,released_year,imdb_links
"The A.B.C. Murders (1936),", Agatha Christie,The Alphabet Murders,1966,https://www.imdb.com/title/tt0060094/
"The A.B.C. Murders (1936),", Agatha Christie,The A.B.C. Murders,1992,
"À ton image (1998),", Louise L. Lambrichs,À ton image,2004,https://www.imdb.com/title/tt0307343/
"De Aanslag (The Assault) (1982),", Harry Mulisch,The Assault,1986,
"About a Boy (1998),", Nick Hornby,About a Boy,2002,
"About Schmidt (1996),", Louis Begley,About Schmidt,2002,https://www.imdb.com/title/tt0257360/
"Absolute Power (1996),", David Baldacci,Absolute Power,1997,
"The Accidental Tourist (1985),", Anne Tyler,The Accidental Tourist,1988,/wiki/The_Accidental_Tourist_(film)
"Across 110th (1970),", Wally Ferris,Across 110th Street,1972,https://www.imdb.com/title/tt0068168/
"Adam Resurrected (Man, Son of a Dog) (1971),", Yoram Kaniuk,Adam Resurrected,2009,https://www.imdb.com/title/tt0479341/
"Adams Fall (2000),", Sean Desmond,Abandon,2002,
"Addie Pray (1971),", Joe David Brown,Paper Moon,1973,
"Adiliya by the River (1999),", Jin Renshun,Green Tea,2003,
"Adolphe (1816),", Benjamin Constant,Adolphe,2002,https://www.gutenberg.org/ebooks/13861
"Adventure (1911),", Jack London,Adventure,1925,/wiki/Category:Adventure
"The Adventurers (1966),", Harold Robbins,The Adventurers,1970,
The Adventures of Captain Alatriste (Las aventuras del Capitán Alatriste) (1996–present) (series), Arturo Pérez-Reverte,Alatriste,2006,https://www.imdb.com/title/tt0395119/
"The Adventures of Hajji Baba of Ispahan (1824),", James Justinian Morier,The Adventures of Hajji Baba,1954,https://www.imdb.com/title/tt0046683/
"Adventures of Huckleberry Finn (1884),", Mark Twain,Huck and Tom,1918,https://www.imdb.com/title/tt0009209/
"Adventures of Huckleberry Finn (1884),", Mark Twain,Huckleberry Finn,1920,/wiki/Huckleberry_Finn_(1920_film)
"Adventures of Huckleberry Finn (1884),", Mark Twain,Huck Finn,1937,
"Adventures of Huckleberry Finn (1884),", Mark Twain,The Adventures of Huckleberry Finn,1939,/wiki/The_Adventures_of_Huckleberry_Finn_(1939_film)
"Adventures of Huckleberry Finn (1884),", Mark Twain,Hopelessly Lost,1972,https://www.allmovie.com/movie/v155718
"Adventures of Huckleberry Finn (1884),", Mark Twain,Adventures of Huckleberry Finn,1985,/w/index.php?title=Adventures_of_Huckleberry_Finn_(1985_TV_series)&action=edit&redlink=1
"Adventures of Huckleberry Finn (1884),", Mark Twain,The Adventures of Mark Twain,1985,
"Adventures of Huckleberry Finn (1884),", Mark Twain,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,1990,https://www.imdb.com/title/tt0099087/
"Adventures of Huckleberry Finn (1884),", Mark Twain,The Adventures of Huck Finn,1993,/wiki/The_Adventures_of_Huck_Finn_(1993_film)
"Adventures of Huckleberry Finn (1884),", Mark Twain,Tom and Huck,1995,https://www.imdb.com/title/tt0112302/
"Adventures of Huckleberry Finn (1884),", Mark Twain,Tomato Sawyer and Huckleberry Larry's Big River Rescue,2008,
"The Adventures of Pinocchio (1883),", Carlo Collodi,The Adventures of Pinocchio,1936,/wiki/The_Adventures_of_Pinocchio_(1936_film)
"The Adventures of Pinocchio (1883),", Carlo Collodi,considered a lost film),,
"The Adventures of Pinocchio (1883),", Carlo Collodi,Pinocchio,1940,/w/index.php?title=Pinocchio_(1911_film)&action=edit&redlink=1
"The Adventures of Pinocchio (1883),", Carlo Collodi,The Adventures of Buratino,1959,/w/index.php?title=The_Adventures_of_Buratino_(computer_game)&action=edit&redlink=1
"The Adventures of Pinocchio (1883),", Carlo Collodi,Pinocchio in Outer Space,1965,https://www.imdb.com/title/tt0186449/
