books,movies,imdb_id,isbn
The A.B.C. Murders,The Alphabet Murders,tt0060094,0515128821
À ton image,À ton image,tt0307343,2253142441
About Schmidt,About Schmidt,tt0257360,0452286352
Across 110th,Across 110th Street,tt0068168,0375725970
"Adam Resurrected (Man, Son of a Dog)",Adam Resurrected,tt0479341,0812555244
The Adventures of Captain Alatriste (Las aventuras del Capitán Alatriste),Alatriste,tt0395119,3791329286
The Adventures of Hajji Baba of Ispahan,The Adventures of Hajji Baba,tt0046683,0141805617
Adventures of Huckleberry Finn,Huck and Tom,tt0009209,0060080833
Adventures of Huckleberry Finn,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,tt0099087,0060080833
Adventures of Huckleberry Finn,Tom and Huck,tt0112302,0060080833
The Adventures of Pinocchio,Pinocchio in Outer Space,tt0186449,185715018X
The Adventures of Pinocchio,Pinocchio and the Emperor of the Night,tt0093743,185715018X
The Adventures of Pinocchio,964 Pinocchio,tt0225009,185715018X
The Adventures of Pinocchio,Pinocchio's Revenge,tt0117342,185715018X
The Adventures of Pinocchio,Geppetto,ch0028761,185715018X
The Adventures of Pinocchio,A.I. Artificial Intelligence,tt0212720,185715018X
The Adventures of Pinocchio,Pinocchio 3000,tt0332318,185715018X
Advise and Consent,Advise & Consent,tt0055728,0143039156
Aelita,Aelita,tt0014646,0099416158
"After Dark, My Sweet",My Sweet,tt0244072,0375413901
After Hours,Carlito's Way,tt0106519,0375413901
After the Funeral,Murder at the Gallop,tt0057334,0375413901
Aimez-vous Brahms?,Jahan Tum Le Chalo,tt0439641,0812971450
Airport,Airport 1975,tt0071110,0941423646
Airport,Airport '77,tt0075648,0941423646
Airport,The Concorde ... Airport '79,tt0078740,0941423646
Allan Quatermain,Allan Quatermain and the Lost City of Gold,tt0092534,0743428676
All the Brothers Were Valiant,All the Brothers Were Valiant,tt0045494,0142437689
All the Brothers Were Valiant,Across to Singapore,tt0018618,0142437689
All You Need Is Kill,Edge of Tomorrow,tt1631867,0671027123
Always Another Dawn,Always Another Dawn,tt0039147,0064407314
"Always Outnumbered, Always Outgunned",Always Outnumbered,tt0146425,0060741872
El Amante Bilingüe (The Bilingual Lover),El Amante Bilingüe,tt0106251,0425213471
El Amateur (The Amateur),El Amateur,tt0202223,0060080833
American Knees,Americanese,tt0402763,0449001172
The Americanization of Emily,The Americanization of Emily,tt0057840,0852237510
Amerika,Intervista,tt0093267,0156007479
El Amor infiel (The Unfaithful Love),El Amor infiel,tt0190966,0312354959
Amos Judd,The Young Rajah,tt0013802,2879291488
Anatomy of a Murder,Anatomy of a Murder,tt0052561,1415918090
And Now Tomorrow,And Now Tomorrow,tt0036599,1590171241
And Then There Were None,Gumnaam,tt0247394,0140444572
And Then There Were None,Desyat Negrityat,tt0092879,0140444572
The Anderson Tapes,The Anderson Tapes,tt0066767,0679446699
Andromeda: A Space-Age Tale,The Andromeda Nebula,tt0278781,1401212352
Angel Square,Angel Square,tt0101348,1593083238
Angélique,Marvelous Angelique,tt0058343,2290011150
Angélique,Angelique and the King,tt0058909,2290011150
Angélique,Untamable Angelique,tt0061819,2290011150
Angélique,Angelique and the Sultan,tt0061357,2290011150
Anglo-Saxon Attitudes,Anglo-Saxon Attitudes,tt0204136,0140143955
