books,isbn,movies,imdb_id
The A.B.C. Murders,1579126243,The Alphabet Murders,tt0060094
The Adventures of Hajji Baba of Ispahan,0486280233,The Adventures of Hajji Baba,tt0046683
Adventures of Huckleberry Finn,0486443221,Huck and Tom,tt0009209
Adventures of Huckleberry Finn,0486443221,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,tt0099087
Adventures of Huckleberry Finn,0486443221,Tom and Huck,tt0112302
The Adventures of Pinocchio,1842055062,Pinocchio in Outer Space,tt0186449
The Adventures of Pinocchio,1842055062,Pinocchio and the Emperor of the Night,tt0093743
The Adventures of Pinocchio,1842055062,964 Pinocchio,tt0225009
The Adventures of Pinocchio,1842055062,Pinocchio's Revenge,tt0117342
The Adventures of Pinocchio,1842055062,Geppetto,ch0028761
The Adventures of Pinocchio,1842055062,A.I. Artificial Intelligence,tt0212720
The Adventures of Pinocchio,1842055062,Pinocchio 3000,tt0332318
"After Dark, My Sweet",0307265838,My Sweet,tt0244072
After Hours,0679745394,Carlito's Way,tt0106519
After the Funeral,0679745394,Murder at the Gallop,tt0057334
American Knees,0140119485,Americanese,tt0402763
The Americanization of Emily,0978721004,The Americanization of Emily,tt0057840
Amerika,0140119485,Intervista,tt0093267
And Then There Were None,0312330871,Gumnaam,tt0247394
And Then There Were None,0312330871,Desyat Negrityat,tt0092879
The Anderson Tapes,014044209X,The Anderson Tapes,tt0066767
Anna and the King of Siam,0143035002,Anna and the King,tt0166485
Anne of Green Gables,0451528824,Anne of Green Gables: The Continuing Story,tt0158466
Anne of Green Gables,0451528824,Anne of Green Gables: A New Beginning,tt1063034
Antonieta,0195143108,Antonieta,tt0083567
The Apocalypse Watch,0143039431,The Apocalypse Watch,tt0120027
The Assassination of Jesse James by the Coward Robert Ford,1565849426,The Assassination of Jesse James by the Coward Robert Ford,tt0443680
The Astronauts,0156004011,First Spaceship on Venus,tt0053250
The Auction Block,1841882542,The Auction Block,tt0016616
Band of Angels,0006178731,Band of Angels,tt0050166
The Barefoot Mailman,0375500723,The Barefoot Mailman,tt0043319
The Battle of the Villa Fiorita,189238938X,The Battle of the Villa Fiorita,tt0058949
Battle Royale,006075186X,Battle Royale II: Requiem,tt0338763
The Beast Master,0452282195,The Beastmaster,tt0083630
The Beast Master,0452282195,Beastmaster 2: Through the Portal of Time,tt0101412
The Beast Master,0452282195,Beastmaster III: The Eye of Braxus,tt0112469
Beau Geste,0060753102,Beau Hunks,tt0021646
Beau Geste,0060753102,Follow That Camel,tt0061680
