,title,authors,isbn,average_rating,ratings_count,text_reviews_count,best_seller
0,$30 Film School: How To Write  Direct  Produce  Shoot  Edit  Distribute  Tour With  And Sell Your Own No-Budget Digital Movie,Michael W. Dean,1592000673,3.49,30,4,
1,'Salem'S Lot,Stephen King/Jerry N. Uelsmann,385516487,4.25,84123,571,
2,1 000 Places To See Before You Die,Patricia Schultz,761104844,3.85,36303,439,
3,10 Lb Penalty,Dick Francis,042519745X,3.9,3490,177,
4,100 Great Fantasy Short Short Stories,Isaac Asimov/Terry Carr/Martin H. Greenberg/Janet  Fox,380699176,3.91,204,19,
5,100 Love Sonnets,Pablo Neruda/Stephen Tapscott,292760280,4.39,12613,392,
6,100 Years Of Lynchings,Ralph Ginzburg,933121180,4.61,88,4,
7,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3822840858,3.85,288,31,
8,1000 Rings: Inspiring Adornments For The Hand,Marthe Le Van/Robert W. Ebendorf/Lark Books,1579905080,4.23,82,9,
9,1001 Illuminated Initial Letters: 27 Full-Color Plates,Owen    Jones,486256073,3.46,11,1,
10,101 Stories Of The Great Ballets: The Scene-By-Scene Stories Of The Most Popular Ballets  Old And New,George Balanchine/Francis Mason,385033982,4,203,12,
11,11 De Septiembre,Noam Chomsky,158322565X,3.73,14,2,
12,13 Little Blue Envelopes,Maureen Johnson,60541431,3.64,70689,4067,
13,13Th Directorate,Barry Chubin,804104557,2.62,8,1,
14,1421: The Year China Discovered America,Gavin Menzies,006054094X,3.6,11751,893,
15,1491: New Revelations Of The Americas Before Columbus,Charles C. Mann,1400032059,4.02,56290,3238,
16,1599: A Year In The Life Of William Shakespeare,James Shapiro,571214800,4.09,34,6,
17,1632,Eric Flint,1416532811,4.04,8406,638,
18,1635: The Cannon Law,Eric Flint/Andrew Dennis,1416509380,3.76,1336,35,
19,1776,David McCullough,743226720,4.07,166916,6243,
20,18 Best Stories By Edgar Allan Poe,Edgar Allan Poe/Vincent  Price/Chandler Brossard,440322278,4.02,412,37,
21,1848: The Revolution Of The Intellectuals,Lewis B. Namier/James Joll,197261116,3.11,15,0,
22,1912 Manuscript On The Special Theory Of Relativity,Albert Einstein/Hanoch Gutfreund,807615323,4.41,17,0,
23,1919,John Dos Passos/E.L. Doctorow,618056823,4,2185,137,
24,1968: The Year That Rocked The World,Mark Kurlansky,345455827,3.78,2046,248,
25,1968: War And Democracy,Eugene J. McCarthy/Christopher Hitchens,1883477379,4.5,2,1,
26,1984,George Orwell/Erich Fromm,451516753,4.18,1322,121,True
27,1St To Die,James Patterson,446696617,4.08,269826,5220,
28,20 000 Leagues Under The Sea,Ron     Miller/Jules Verne/Paul   Wright,751370738,3.76,34,4,
29,200 Quilt Blocks: To Mix And Match,Davina Thomas,896892026,4.09,5,0,
30,2006 International Building Code,International Code Council (ICC),1580012515,3.27,11,1,
31,2012: The Return Of Quetzalcoatl,Daniel Pinchbeck,1585424838,3.42,1416,217,
32,22 Indigo Place,Sandra Brown,553290851,3.63,2537,79,
33,23 Days In July: Inside The Tour De France And Lance Armstrong'S Record-Breaking Victory,John Wilcockson/Graham   Watson,306814552,3.67,360,26,
34,25 Ways To Win With People: How To Make Others Feel Like A Million Bucks,John C. Maxwell/Les Parrott III,785260943,4.11,1710,114,
35,2Nd Chance,James Patterson/Andrew Gross,446696633,4.04,78780,2118,
36,3Rd Degree,James Patterson/Andrew Gross,446696641,4.02,268,13,
37,4:50 From Paddington / A Pocket Full Of Rye,Agatha Christie,553525638,3.94,34,3,
38,4Th Of July,James Patterson/Maxine Paetro,446613363,4.07,62523,1674,
39,50 Great Curries Of India,Camellia Panjabi,1904920357,4.15,209,29,
40,7 Hábitos De Las Familias Altamente Efectivas,Stephen R. Covey,1400083419,4.16,7,0,
41,7 Steps To Midnight,Richard Matheson,765308371,3.48,423,44,True
42,72 Hour Hold,Bebe Moore Campbell,1400033616,3.81,1746,184,
43,9-Nov,Noam Chomsky/Greg Ruggiero/Marili Margomenou/Miguel Mora/Natalie Levisalles/Il Manifesto/Hartford Courant/David Barsamian/Radio B92/Elise Fried/Peter Kreysler/Gionarle del Popolo/Michael Albert,1583224890,3.73,3070,172,
44,A Backward Glance,Edith Wharton/Louis Auchincloss,684847558,3.76,521,77,
45,A Beautiful Mind,Sylvia Nasar,571212921,4.13,115201,1008,
46,A Bend In The River,V.S. Naipaul,330487140,3.77,13147,690,
47,A Bend In The Road,Nicholas Sparks,446696137,4.03,125693,3229,
48,A Birthday For Frances,Russell Hoban/Lillian Hoban,99432447,4.24,2256,71,
49,A Bite To Remember,Lynsay Sands,006077407X,4.24,17710,393,
50,A Book Of Blue Flowers,Robert L. Geneve,881927694,3.83,0,0,
51,A Book Of Common Prayer,Joan Didion,679754865,3.8,2962,255,
52,A Box Of Matches,Nicholson Baker,375706038,3.67,1679,192,
53,A Break With Charity: A Story About The Salem Witch Trials,Ann Rinaldi,152046828,3.79,5052,417,
54,A Break With Charity: A Story Of The Salem Witch Trials,Ann Rinaldi,785735488,3.79,37,6,
55,A Breath Of Snow And Ashes,Diana Gabaldon,385340397,4.44,105950,3992,
56,A Brief History Of Time,Stephen Hawking,553380168,4.17,239652,5860,
57,A Briefer History Of Time,Stephen Hawking/Leonard Mlodinow,553804367,4.22,24035,828,
58,A Calendar Of Wisdom: Daily Thoughts To Nourish The Soul,Leo Tolstoy/Peter Sekirin,684837935,4.07,502,43,
59,A Caress Of Twilight,Laurell K. Hamilton,345478169,4.06,32029,596,
60,A Cargo Of Women: Susannah Watson And The Convicts Of The Princess Royal,Babette Smith,1877058335,3.58,0,0,
61,A Caribbean Mystery,Agatha Christie/Rosalind Ayres,1572705493,3.8,49,10,
62,A Carl Hiaasen Collection: Stormy Weather  Tourist Season  And  Strip Tease,Carl Hiaasen/Edward Asner,375410465,4.45,44,1,True
63,A Case Of Need,Jeffery Hudson/Michael Crichton,451210638,3.72,17135,654,
64,A Cat  A Man  And Two Women,Jun'ichirō Tanizaki/Paul McCarthy,4770016050,3.8,972,74,
65,A Cavern Of Black Ice,J.V. Jones,076534551X,3.87,7919,163,
66,A Certain Justice,P.D. James,770429912,3.93,6877,374,
67,A Changeling For All Seasons,Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,1595962808,3.76,167,4,
68,A Child'S Garden Of Verses,Robert Louis Stevenson/Tasha Tudor,689823827,4.3,22227,431,
69,A Chosen Few: The Resurrection Of European Jewry,Mark Kurlansky,345448146,3.87,51,2,
70,A Christmas Carol,Charles Dickens/P.J. Lynch,763631205,4.05,4359,353,
71,A Christmas Carol And Other Christmas Books,Charles Dickens/Robert Douglas-Fairhurst,192806947,3.96,156,20,
72,A Christmas Carol And Other Christmas Writings,Charles Dickens/Michael Slater,140439056,4.14,30393,449,
73,A Christmas Carol And The Night Before Christmas,Charles Dickens/Clement C. Moore/Arthur Rackham,517229277,4.35,91,15,
74,A Christmas Memory,Truman Capote,375837892,4.24,9982,849,
75,A Christmas Story,Jean Shepherd,767916220,4.08,3187,381,
76,A Circle Of Quiet,Madeleine L'Engle,62545035,4.21,5236,506,
77,A Civil Action,Jonathan Harr,679772677,3.97,13628,754,
78,A Clash Of Kings,George R.R. Martin,553381695,4.41,638766,16535,
79,A Clockwork Orange,Anthony Burgess/Blake Morrison,141182601,3.99,5366,524,
80,A Cold Treachery,Charles Todd,553586610,4.15,2997,265,
81,A Collection Of Rudyard Kipling'S Just So Stories,Rudyard Kipling/Christopher Corr,763626295,4.09,177,19,
82,A Companion To Plato'S Republic,Nicholas P. White,915144921,3.67,25,0,
83,A Complicated Kindness,Miriam Toews,1582433224,3.65,17963,1023,
84,A Confederacy Of Dunces,John Kennedy Toole,140282688,3.89,540,47,
85,A Confederate General From Big Sur / Dreaming Of Babylon / The Hawkline Monster,Richard Brautigan,395547032,4.25,1724,103,
86,A Conflict Of Visions: Ideological Origins Of Political Struggles,Thomas Sowell,465081428,4.31,1797,166,
87,A Couple Of April Fools,Gregory Maguire/Elaine Clayton,60760826,3.48,3,0,
88,A Crack In The Edge Of The World,Simon Winchester,60572000,3.78,5413,499,
89,A Crown Of Swords,Robert Jordan,812550285,4.04,106712,1604,
90,A Damsel In Distress,P.G. Wodehouse,1406953210,4.08,3526,355,
91,A Dance At The Slaughterhouse,Lawrence Block,380813734,4.18,3351,147,True
92,A Dance To The Music Of Time: 1St Movement,Anthony Powell,226677141,3.95,3817,271,
93,A Dance To The Music Of Time: 2Nd Movement,Anthony Powell,226677168,4.29,1237,87,
94,A Dance To The Music Of Time: 3Rd Movement,Anthony Powell,226677176,4.26,1289,83,
95,A Dance To The Music Of Time: 4Th Movement,Anthony Powell,226677184,4.22,1145,77,
96,A Dangerous Fortune,Ken Follett,330332651,4.05,154,12,
97,A Dangerous Man,Charlie Huston,034548133X,4.07,2735,162,True
98,A Day In The Life: The Music And Artistry Of The Beatles,Mark Hertsgaard,385315171,4.16,1116,46,
99,A Devilish Dilemma,Judith A. Lansdowne,821758268,4.02,54,6,
100,A Different Mirror: A History Of Multicultural America,Ronald Takaki,316831115,4.13,3389,212,
101,A Dirty Job,Christopher Moore,60590270,4.07,90947,5477,
102,A Distant Mirror: The Calamitous 14Th Century,Barbara W. Tuchman,345910907,4.08,143,26,
103,A Divine Revelation Of Hell,Mary K. Baxter/T.L. Lowery,883682796,4.18,1164,154,
104,A Door Of Hope,Jan Frank,898401879,3.97,28,3,
105,A Dracula Handbook,Elizabeth Russell Miller,1413480942,4.07,10,1,
106,A Drink Before The War,Dennis Lehane,156029022,3.95,29089,1523,
107,A Dubious Codicil,Michael Wharton,701130644,3.25,3,0,
108,A Fabulous  Formless Darkness,David G. Hartwell/Fritz Leiber/Fitz-James O'Brien/Shirley Jackson/Ambrose Bierce/Edith Wharton/Algernon Blackwood/Thomas M. Disch/Robert Aickman/Philip K. Dick/Gene Wolfe/Charles Dickens/Stephen King/Joyce Carol Oates/Walter de la Mare/Ivan Turgenev/Robert W. Chambers/Oliver Onions,812509676,4.18,31,5,
109,A Faint Cold Fear,Karin Slaughter,60534052,4.08,25119,900,
110,A Fairly Honourable Defeat,Iris Murdoch/Peter Reed,141186178,3.93,1417,115,
111,A Faith Like Mine,Laura Buller/D.K. Publishing,756611776,3.91,50,19,
112,A False Mirror,Charles Todd,60786736,4.02,2519,225,
113,A Fan'S Notes,Frederick Exley/Jonathan Yardley,679602712,4.08,81,10,
114,A Farewell To Arms,Ernest Hemingway/John Slattery,743564375,3.8,290,65,
115,A Farewell To Arms?: Beyond The Good Friday Agreement,Adrian Guelke/Michael Cox/Fiona Stephen,719071151,4.33,0,0,
116,A Fearsome Doubt,Charles Todd,553583174,4.04,2815,258,
117,A Feather On The Breath Of God,Sigrid Nunez,312422733,3.91,488,66,
118,A Fighting Man Of Mars,Edgar Rice Burroughs,345345118,3.84,3169,77,
119,A Fine Balance,Rohinton Mistry,140003065X,4.36,112196,7546,
120,A First Course In String Theory,Barton Zwiebach,521831431,4.16,189,8,
